index;x;y;z
406;0.432831;-1.047928;-0.471848
407;-0.056564;-0.602402;-0.010651
408;0.146545;-0.553558;-0.405273
409;0.052780;-1.339905;-0.088455
410;0.383682;-1.171524;-0.191925
411;0.305298;-0.806747;-0.062714
412;0.223526;-0.751099;-0.132935
413;0.258362;-1.501724;-0.174698
414;-0.155533;-0.384323;0.212082
415;0.130280;-1.071060;-0.050949
416;0.364334;-1.621292;-0.215042
417;0.109131;-0.556015;-0.036194
418;0.175552;-1.555603;-0.222275
419;-0.095810;-0.093414;-0.033844
420;-0.079224;-1.368805;-0.096344
421;0.432465;-0.783356;-0.428345
422;-0.103546;-1.558487;-0.148666
423;0.165314;-0.419449;-0.257828
424;0.247391;-1.194473;-0.407379
425;0.094833;-0.921539;-0.238678
426;0.450806;-1.368729;-0.482300
427;0.297791;-0.399261;-0.316299
428;0.482025;-4.053192;-0.825607
429;0.221634;0.292923;0.007950
430;-0.030289;-1.349655;-0.099640
431;0.556168;-0.955048;-0.499741
432;-0.026001;-1.157516;0.032532
433;0.157806;-0.892288;-0.147003
434;0.135178;-1.342148;-0.097610
435;0.454178;-1.001541;-0.289200
436;0.282104;-0.062134;-0.108871
437;0.390396;-1.526947;-0.422226
438;0.203262;-1.622208;-0.011673
439;-0.155624;-0.403122;0.110382
440;0.054138;-0.173630;0.048004
441;0.589432;-2.954941;-0.752594
442;-0.217392;-0.708817;-0.083664
443;-0.197830;-1.018539;0.078766
444;0.425186;-0.921158;-0.421051
445;-0.389587;-1.205780;0.132401
446;0.371857;-0.253128;-0.307312
447;0.111130;-1.330353;-0.407959
448;-0.283936;-0.717529;0.084122
449;0.509857;-0.997131;-0.557068
450;0.004684;-1.221207;-0.191528
451;-0.112289;-1.355347;-0.023468
452;0.005203;0.399185;-0.129898
453;0.088257;-2.509888;-0.472336
454;0.039154;-0.194107;-0.146347
455;0.205795;-1.153610;-0.268936
456;0.343765;-0.885574;-0.318787
457;0.008255;-1.155731;-0.017715
458;0.188705;-0.879929;-0.158691
459;0.028976;-0.937637;-0.086731
460;0.300995;-1.161774;-0.266129
461;0.165741;-0.440018;-0.160110
462;0.208176;-1.181351;-0.344208
463;0.167740;-1.401917;-0.008621
464;0.486801;-0.573669;-0.218170
465;-0.035156;-1.711884;0.076523
466;0.027069;-0.237793;0.133743
467;0.255524;-1.296524;-0.268692
468;-0.002594;-0.920349;0.020020
469;0.063416;-0.848129;0.014786
470;0.181122;-1.130432;-0.139694
471;0.121979;-0.954346;-0.242661
472;0.026306;-0.833481;-0.087692
473;0.042007;-1.031647;-0.127838
474;0.196945;-0.756409;-0.342438
475;0.269226;-1.357361;-0.363373
476;-0.031418;-0.798843;-0.215256
477;-0.035522;-0.691193;-0.127075
478;0.022110;-1.078461;-0.248810
479;0.045654;-0.968948;-0.289810
480;-0.054382;-0.731400;-0.224442
481;0.005219;-1.047363;-0.237595
482;0.252075;-1.145905;-0.366791
483;0.126251;-1.008667;-0.266327
484;0.124176;-0.994308;-0.204880
485;0.291504;-1.009293;-0.333511
