index;x;y;z
543;0.014633;0.351471;-0.939209
544;-0.095276;0.502350;-0.776901
545;-0.119522;0.212814;-1.186371
546;-0.202118;0.155853;-0.985657
547;-0.216705;0.451859;-0.797256
548;-0.145569;0.518539;-0.620117
549;-0.062637;0.291641;-0.900940
550;-0.027878;0.440918;-1.369186
551;-0.065125;0.187241;-1.175720
552;-0.137970;0.035568;-0.494263
553;-0.264618;0.619171;-0.805038
554;-0.137817;0.661850;-1.205643
555;0.006744;0.042862;-0.851196
556;-0.023987;0.448196;-0.737793
557;0.110672;0.825562;-1.023544
558;0.235596;0.503128;-0.898422
559;0.201630;0.381851;-0.544388
560;0.057663;0.489838;-0.741562
561;-0.048965;-0.174698;-1.564453
562;0.075897;0.995239;0.060959
563;-0.092407;0.457901;-1.304855
564;-0.002762;0.223984;-0.758896
565;-0.145096;-0.139404;-1.185623
566;-0.032761;0.970535;-0.198166
567;0.034927;0.623901;-1.569351
568;0.007050;0.360489;-0.914108
569;-0.155212;0.054398;-1.032532
570;-0.199448;0.020096;-0.897491
571;-0.083862;0.772446;-0.902908
572;-0.055664;0.665909;-0.187958
573;-0.185440;-0.387909;-2.430344
574;-0.090698;0.499252;-0.175812
575;-0.344849;0.506714;-1.026215
576;-0.061752;0.290329;-0.985199
577;-0.177032;0.453201;-0.770920
578;0.047852;0.240189;-0.870300
579;0.039474;0.241913;-0.970490
580;0.041000;0.429886;-0.388565
581;0.054245;0.504532;-1.194321
582;0.071213;0.647629;-0.741516
583;0.216034;0.629715;-0.712494
584;0.180878;0.395905;-1.082962
585;0.128235;0.182617;-1.046890
586;0.025558;0.514267;-0.832550
587;-0.054947;0.568329;-0.923141
588;-0.068100;0.147583;-0.831100
589;-0.144623;0.212189;-0.960938
590;-0.106705;0.386368;-0.814606
591;-0.043259;0.430008;-1.160614
592;-0.035507;0.476532;-0.605560
593;-0.089401;0.258163;-1.026031
594;-0.104584;0.233719;-1.109329
595;-0.027496;0.592453;-0.568634
596;0.059341;0.454880;-0.557495
597;0.084854;0.249313;-0.924072
598;0.164124;0.656998;-0.948776
599;0.230270;0.465302;-0.722336
600;0.213058;0.307709;-1.245102
601;0.163162;0.716675;-0.950439
602;0.034653;-0.146362;-1.137009
603;-0.072876;0.293839;-0.586945
604;-0.170059;0.957428;-1.126160
605;0.021042;0.032639;-0.746948
606;0.048874;0.544449;-1.236633
607;0.122589;0.698898;-0.982681
608;0.234161;0.086044;-1.175659
609;0.012131;0.287903;-0.135193
610;-0.113556;0.435333;-1.495911
611;-0.044281;-0.145828;-1.456558
612;0.000946;1.065201;-0.006454
613;0.117096;0.565216;-0.749741
614;0.188293;0.362213;-1.348160
615;0.030609;0.264832;-1.276581
616;0.042770;0.100220;-1.162369
617;-0.175247;0.284668;-0.425186
618;-0.194901;0.640762;-0.466644
619;0.016495;0.198822;-1.084808
620;0.028305;0.605270;-0.470703
621;0.307953;0.769897;-1.009720
622;0.265930;0.403000;-1.451996
623;0.109497;0.103226;-0.522995
624;-0.167282;-0.296570;-1.269485
625;-0.112946;0.684280;-1.076950
626;-0.024246;1.332443;0.268341
627;0.164642;0.167572;-1.096146
628;0.125809;-0.218216;-1.854630
629;0.226379;0.735199;-0.769043
630;0.185776;0.762527;0.375122
631;0.026443;0.214432;-2.127670
632;0.010651;0.452103;-0.942429
633;-0.148972;-0.005661;-1.015839
634;-0.020081;0.753006;-0.272690
635;0.029312;0.759903;-1.093185
636;0.140396;0.178101;-0.873703
637;0.036896;0.069534;-1.101288
638;0.113586;0.368195;-1.103256
639;0.048660;0.468155;-0.848236
640;-0.056824;0.464737;-1.001602
641;-0.012253;0.579849;-0.686417
642;-0.090561;0.497177;-0.858459
643;0.009476;0.264221;-0.768387
644;0.022415;0.434204;-1.149063
645;0.100830;0.665100;-0.671829
646;0.093826;0.326233;-1.936066
647;0.051331;0.198334;1.076599
648;-0.541611;0.164932;-1.975708
649;0.227814;0.100723;-0.674210
650;-0.165085;1.286392;-0.309891
651;0.409958;0.758621;-0.724060
652;0.254044;-0.114487;-2.688843
653;0.212784;0.202972;-0.387863
654;-0.081619;0.487534;-1.520981
655;-0.007874;0.696365;-0.471558
656;-0.263306;0.078415;-0.231491
657;-0.418442;-0.421112;-1.390472
658;-0.026505;0.857971;-0.615524
659;0.309952;1.117798;-1.007736
660;0.524216;0.775146;-1.325989
661;0.156540;-0.106049;-1.381699
662;-0.013763;-0.451050;-1.850494
663;-0.278854;0.283539;-0.330109
664;-0.384338;0.899475;-1.188477
665;-0.097610;0.253799;0.067795
666;-0.228165;0.178635;-1.334961
667;0.174164;0.611313;-0.383133
668;0.291138;0.426620;-1.281052
669;0.326935;0.850281;-0.436279
670;-0.008209;0.158875;-1.826721
671;-0.033310;-0.355438;-1.265289
672;-0.261353;0.486160;-1.047867
673;-0.154022;0.866425;0.197128
674;-0.039993;0.432983;-1.084946
675;0.052780;0.624084;-0.053436
676;0.143936;-0.100464;-1.966400
677;0.223419;0.072418;-0.679718
678;0.234512;1.111649;-0.606369
679;0.474335;1.118607;-0.083313
680;0.363525;-0.003647;-3.303848
681;0.143127;0.891266;-0.263947
682;-0.370621;-0.308350;-1.286453
683;-0.467651;-0.395294;-0.443329
684;-0.515289;0.596268;-0.562057
685;-0.092545;1.009476;-0.151398
686;0.272461;0.071396;-1.152985
687;0.274796;0.525589;-1.019043
688;0.224548;0.840134;-1.557129
689;0.139755;0.248062;-1.354904
690;-0.137543;0.457321;-1.105576
691;-0.209213;0.165878;-0.623856
692;-0.145157;-0.093994;-0.739944
693;-0.077377;0.376419;-0.243378
694;0.082123;0.447418;-0.696182
695;0.141342;0.340027;-0.914383
696;0.180450;0.433548;-1.064667
697;0.243286;0.154312;-1.210754
698;0.248627;0.012085;-1.200226
699;0.288803;0.687241;-0.767792
700;0.394119;0.662079;-0.561813
701;0.417023;0.311493;-0.928558
702;0.408188;0.592239;-0.301651
703;0.286942;0.519073;-0.878342
704;0.425430;0.576477;-0.281357
705;0.360428;0.518127;-0.848724
706;0.418930;0.316742;-0.975342
707;0.406708;0.159286;-1.492294
708;0.262650;0.356323;-0.649277
709;0.281479;0.457367;-1.153046
710;0.298447;0.253525;-0.731262
711;0.122757;0.219421;-1.030045
712;0.115356;0.489410;-0.256378
713;0.055298;0.629654;-0.758408
714;0.157410;0.628555;-0.634766
715;0.256500;0.338699;-1.136856
716;0.236877;0.574936;-1.017670
717;0.234482;0.207428;-1.104523
718;0.044662;0.422028;-1.078613
719;-0.013824;0.232513;-1.164230
720;-0.003754;0.165512;-0.696228
721;-0.014465;0.096954;-0.786209
722;0.193268;0.534683;-1.103195
723;0.404785;0.610733;-0.714783
724;0.397598;0.273102;-0.664627
725;0.271774;0.535110;-1.409241
726;0.368439;0.803116;-0.653976
727;0.070572;0.102982;-1.182816
728;0.101181;0.410446;-0.746948
729;0.191208;0.618225;-1.282822
730;0.362488;0.504974;-0.363968
731;0.153412;-0.275909;-0.956879
732;0.163361;0.561478;-0.812134
733;0.307739;0.420898;-1.442459
734;0.137329;0.295197;-0.624634
735;0.010101;0.217758;-1.257919
736;0.084717;0.189545;-0.844925
737;-0.033096;0.134598;-1.646439
738;0.027222;0.640854;-0.437836
739;0.168320;0.439346;-0.446625
740;0.281677;-0.029739;-0.938339
741;0.254578;0.733673;-0.562653
742;0.300705;0.748962;-0.638901
743;0.288223;0.598709;-0.776489
744;0.193451;0.391434;-0.737976
745;0.282913;0.254776;-1.485245
746;0.142487;0.002106;-1.285889
747;0.157272;0.489182;-1.106384
748;0.138382;0.545151;-0.238907
749;0.095032;0.493362;-0.725342
750;0.016754;-0.069183;-1.194168
751;0.170517;0.525116;-0.113312
752;0.125214;0.549850;-0.824158
753;0.291702;0.371277;-1.945160
754;0.231949;0.449051;-0.489380
